;Waktu;Jalan;Lat;Long;JarakLampu;Tahun
Selasa, 23 Januari 2018 Jam. 08.00 Wib;siang;ArteriPrimer;-7.603541667;112.0216556;1.881334501;2018
Selasa, 23 Januari 2018 Jam. 09.30 Wib;siang;KolektorPrimer;-7.655088889;112.0123417;837.5311965;2018
Selasa, 23 Januari 2018 Jam. 14.30 Wib;siang;KolektorPrimer;-7.529144444;111.8854083;4190.817226;2018
Selasa, 23 Januari 2018 Jam. 17.45 Wib;siang;KolektorSekunder;-7.612938889;111.9193861;547.3065987;2018
Rabu, 24 Januari 2018 Jam. 14.00 Wib;siang;Lokal;-7.694336111;112.022075;749.7858086;2018
Kamis, 25 Januari 2018 Jam. 11.30 Wib;siang;KolektorPrimer;-7.701263889;111.9254028;2223.835832;2018
Jumat 26 Januari 2018 Jam. 08.30 Wib;siang;Lokal;-7.552891667;112.1077667;799.1319469;2018
Jumat, 26 Januari 2018 Jam. 11.00 Wib;siang;KolektorSekunder;-7.653269444;111.9732472;2106.954137;2018
Jumat, 26 Januari 2018 Jam. 17.15 Wib;siang;KolektorSekunder;-7.656733333;111.8764444;841.6616389;2018
Jumat, 26 Januari 2018 Jam. 20.00 Wib;malam;ArteriPrimer;-7.584652778;111.8798694;184.0543088;2018
Sabtu, 27 Januari 2018 Jam. 09.00 Wib;siang;KolektorSekunder;-7.525433333;112.0920111;2170.661372;2018
Minggu, 28 Januari 2018 Jam. 02.00 Wib;malam;KolektorPrimer;-7.651238889;112.0127667;1311.079363;2018
Minggu, 28 Januari 2018 Jam. 01.00 Wib;malam;KolektorPrimer;-7.647891667;111.8952806;219.2993742;2018
Minggu, 28 Januari 2018 Jam. 04.00 Wib;malam;ArteriPrimer;-7.578963889;111.8708167;371.4021404;2018
Minggu, 28 Januari 2018 Jam. 15.30 Wib;siang;KolektorPrimer;-7.648866667;111.8978861;172.8420407;2018
Minggu, 28 Januari 2018 Jam. 16.30 Wib;siang;ArteriPrimer;-7.590561111;111.8905583;27.53875816;2018
Senin 29 Januari 2018 Jam. 07.00 Wib;siang;KolektorSekunder;-7.693733333;112.0486917;13.97160478;2018
Senin, 29 Januari 2018 Jam. 07.45 Wib;siang;ArteriPrimer;-7.605036111;112.079425;1779.057278;2018
Senin, 29 Januari 2018 Jam. 12.00 Wib;siang;Lokal;-7.669411111;111.9603917;2122.393515;2018
Senin, 29 Januari 2018 Jam. 06.30 Wib;siang;ArteriPrimer;-7.606747222;112.0678583;1018.328157;2018
Selasa, 30 Januari 2018 Jam. 08.30 Wib;siang;KolektorPrimer;-7.611330556;111.8992472;55.36058938;2018
Rabu, 31 Januari 2018 Jam. 20.55 Wib;malam;ArteriPrimer;-7.604286111;111.9736639;2802.954168;2018
Kamis, 01 Februari 2018 Jam. 12.30 Wib;siang;Lokal;-7.724025;111.8780972;8199.194521;2018
Jumat, 02 Februari 2018 Jam. 03.45 Wib;malam;ArteriPrimer;-7.578944444;111.8709083;364.3231334;2018
Jumat, 02 Februari 2018 Jam. 12.45 Wib;siang;KolektorSekunder;-7.625986111;112.0301611;429.6576973;2018
Jumat, 02 Februari 2018 Jam. 19.00 Wib;malam;KolektorPrimer;-7.643997222;112.0149;491.6075893;2018
Sabtu, 03 Februari 2018 Jam. 10.00 Wib;siang;Lokal;-7.651463889;111.8983611;257.0629365;2018
Sabtu, 03 Februari 2018 Jam. 10.30 Wib;siang;KolektorPrimer;-7.648988889;112.0132389;1108.207336;2018
Minggu, 04 Februari 2018 Jam. 06.30 Wib;siang;KolektorPrimer;-7.646486111;112.0137972;855.7674315;2018
Senin, 05 Februari 2018 Jam. 15.30 Wib;siang;ArteriPrimer;-7.606475;112.0658944;1240.107615;2018
Senin, 05 Februari 2018 Jam. 15.00 Wib;siang;Lokal;-7.627108333;111.9101028;1574.716588;2018
Senin, 05 Februari 2018 Jam. 19.00 Wib;malam;ArteriPrimer;-7.600072222;111.9155111;146.751193;2018
Selasa, 06 Februari 2018 Jam. 08.10 Wib;siang;KolektorPrimer;-7.526213889;111.897675;2420.185123;2018
Selasa, 06 Februari 2018 Jam. 13.30 Wib;siang;ArteriPrimer;-7.600027778;111.9140972;50.41722895;2018
Rabu, 07 Februari 2018 Jam. 12.45 Wib;siang;KolektorSekunder;-7.660388889;111.8683694;200.3666162;2018
Jumat, 09 Februari 2018 Jam. 06.00 Wib;siang;KolektorPrimer;-7.654838889;111.9106528;17.40253033;2018
Jumat, 09 Februari 2018 Jam. 08.00 Wib;siang;KolektorSekunder;-7.663808333;111.857425;766.1902672;2018
Jumat, 09 Februari 2018 Jam. 13.30 Wib;siang;ArteriPrimer;-7.606716667;112.0672139;1091.967762;2018
Sabtu, 10 Februari 2018 Jam. 10.30 Wib;siang;ArteriPrimer;-7.606716667;112.0672139;1091.967762;2018
Sabtu, 10 Februari 2018 Jam. 17.30 Wib;siang;KolektorSekunder;-7.536275;112.0135944;756.3203495;2018
Minggu, 11 Februari 2018 Jam. 06.30 Wib;siang;Lokal;-7.537386111;112.1107472;2386.177667;2018
Minggu, 11 Februari 2018 Jam. 08.10 Wib;siang;ArteriPrimer;-7.601402778;112.1026917;146.5281111;2018
Minggu, 11 Februari 2018 Jam. 11.00 Wib;siang;ArteriPrimer;-7.600711111;111.9232583;897.4408705;2018
Minggu, 11 Februari 2018 Jam. 15.00 Wib;siang;KolektorSekunder;-7.536033333;112.0072139;51.87529611;2018
Minggu, 11 Februari 2018 Jam. 22.30 Wib;malam;Lokal;-7.61425;111.9017222;638.5864383;2018
Senin, 12 Februari 2018 Jam. 06.00 Wib;siang;ArteriPrimer;-7.604;111.9695917;2851.326011;2018
Selasa, 13 Februari 2018 Jam. 06.00 Wib;siang;KolektorPrimer;-7.653511111;112.0122889;1081.812971;2018
Selasa, 13 Februari 2018 Jam. 03.50 Wib;malam;KolektorPrimer;-7.647797222;111.8951167;198.6495693;2018
Selasa, 13 Februari 2018 Jam. 09.30 Wib;siang;ArteriPrimer;-7.601258333;112.0953889;70.22317464;2018
Selasa, 13 Februari 2018 Jam. 14.00 Wib;siang;KolektorSekunder;-7.533669444;111.9818944;2782.807024;2018
Rabu, 14 Februari 2018 Jam. 11.30 Wib;siang;ArteriPrimer;-7.599669444;112.0391639;454.2838437;2018
Jumat, 16 Februari 2018 Jam. 08.30 Wib;siang;Lokal;-7.584663889;112.1101;682.3387065;2018
Jumat, 16 Februari 2018 Jam. 15.30 Wib;siang;ArteriPrimer;-7.60075;112.097875;202.0517316;2018
Sabtu, 17 Februari 2018 Jam. 05.10 Wib;malam;ArteriPrimer;-7.603705556;111.998575;205.000518;2018
Sabtu, 17 Februari 2018 Jam. 15.00 Wib;siang;Lokal;-7.559430556;112.113225;602.5552686;2018
Sabtu, 17 Februari 2018 Jam. 19.00 Wib;malam;ArteriPrimer;-7.605491667;111.9989611;1.820496326;2018
Minggu, 18 Februari 2018 Jam. 19.00 Wib;malam;ArteriPrimer;-7.598386111;111.8986944;245.7553824;2018
Senin, 19 Februari 2018 Jam. 18.30 Wib;malam;KolektorPrimer;-7.606794444;111.9017333;190.9396206;2018
Selasa, 20 Februari 2018 Jam. 17.30 Wib;siang;Lokal;-7.648691667;111.9329556;805.8173134;2018
Rabu, 21 Februari 2018 Jam. 16.00 Wib;siang;ArteriPrimer;-7.600880556;112.1015778;271.1437525;2018
