TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
6/3/2020,20.6,27.4,24.2,82,1,4.4,3,90,2,E 
6/4/2020,20.2,29.2,25.2,79,0,5.9,2,360,1,N 
6/5/2020,20.2,29,24.6,82,0,9,2,360,1,E 
6/6/2020,20,28.2,23.7,84,0,7.8,2,180,1,N 
6/7/2020,20.6,28,23.9,87,2,3,3,360,1,NE
6/8/2020,20.6,28.2,24.5,80,0,8,2,360,1,N 
6/9/2020,20.2,27.2,23.6,85,0,8,2,90,1,C 
6/10/2020,19.6,28.4,23.7,82,0,4.9,3,360,1,E 
6/11/2020,19.8,28,23.2,77,0,8.8,1,250,1,N 
6/12/2020,19.4,28.5,23.6,73,0,6.7,1,360,1,E 
6/13/2020,20,29.2,24.1,74,0,9.5,3,300,2,E 
6/14/2020,19.8,28.2,24.1,83,0,9.5,2,90,1,E 
6/15/2020,21,29.4,25.4,82,0,3.8,2,90,1,E 
6/16/2020,21,28.6,24.5,79,29,6.5,2,360,1,N 
6/17/2020,21,29.6,24.5,77,0,7.5,2,360,1,N 
6/18/2020,20,29.2,24.5,80,0,8.8,3,90,1,E 
6/19/2020,21,29,24,80,0,6.3,3,300,2,NW
6/20/2020,19.4,28.4,24.1,78,0,7.6,2,360,1,N 
6/21/2020,21.4,29.6,24.8,80,0,8.7,2,360,1,N 
6/22/2020,20,29.2,24.6,78,0,7.3,2,360,1,N 
6/23/2020,20,29.5,23.5,79,0,7.8,3,300,1,NW
6/24/2020,20.4,28.4,24.6,74,0,9.3,2,360,2,N 
6/25/2020,20,27.2,23.6,74,0,9,2,360,1,N 
6/26/2020,19.5,28.5,23.2,70,0,7.2,4,20,2,N 
6/27/2020,19.4,28.8,23.4,78,0,8.3,3,360,1,N 
6/28/2020,19.9,29,24.3,71,0,8,2,360,1,N 
6/29/2020,20.2,28.4,23.8,81,0,9,3,360,1,N 
6/30/2020,18.8,29.2,23.9,78,0,9.5,2,360,1,N 
7/1/2020,20,30.4,24.2,72,0,7.5,3,360,1,NW
7/2/2020,20.4,28,23.8,81,0,9.5,2,360,1,N 
7/3/2020,19,28.8,24.1,77,0,8.6,3,360,1,N 
7/4/2020,19.2,27.8,22.8,71,0,7.1,2,360,1,E 
7/5/2020,19,28.2,23.6,80,0,9,2,360,1,N 
7/6/2020,20.8,28,23.6,82,0,4.2,3,360,2,N 
7/7/2020,20.2,27.8,23.1,84,13,3.5,2,270,1,N 
7/8/2020,20,29,23.9,74,0,4.8,4,300,2,N 
7/9/2020,20.5,29.6,25,72,0,9.2,5,110,2,NW
7/10/2020,20.6,29,24.1,72,0,7.3,3,360,2,N 
7/11/2020,20.2,29.5,24.4,75,0,7.8,3,90,1,E 
7/12/2020,19.2,29.8,24.3,78,0,9,3,360,1,N 
7/13/2020,20.6,29.2,24.5,82,0,7.4,2,90,1,E 
7/14/2020,21,28.5,23.8,80,0,7.8,3,360,2,N 
7/15/2020,19.2,29.6,23.5,80,0,8,3,360,1,N 
7/16/2020,20.2,28.8,24,84,2,3.1,2,360,1,E 
7/17/2020,20,29.7,24.3,71,0,9,3,360,2,N 
7/18/2020,20,29.4,23.9,72,0,8.1,3,360,2,N 
7/19/2020,18.8,30.2,24.9,73,0,9.6,3,360,2,E 
7/20/2020,21.8,29.8,24.7,81,0,9.5,3,360,2,N 
7/21/2020,21,29,24.2,82,0,8.5,2,360,1,N 
7/22/2020,19.8,28.6,23.9,81,0,6.5,3,360,2,N 
7/23/2020,21.6,29.4,23.8,72,0,8.8,2,360,1,N 
7/24/2020,18.8,28.2,23.5,77,0,9.8,2,360,1,E 
7/25/2020,18.4,28.5,23.3,65,0,8.1,3,360,2,N 
7/26/2020,18.6,28.5,22.8,72,0,9.9,1,180,1,N 
7/27/2020,19.4,28.8,22.6,65,0,9.6,2,180,1,S 
7/28/2020,17,29.4,23.4,71,0,9.9,3,360,2,N 
7/29/2020,18.8,28.5,23,76,0,10.2,2,90,1,N 
7/30/2020,18.2,27.8,21.8,68,0,10.5,3,360,2,N 
7/31/2020,18,28.4,23.1,65,0,10,3,360,2,N 
8/1/2020,19.4,29,23.5,76,0,9.8,3,300,2,N 
8/2/2020,19,28.6,22.9,79,0,8.4,2,360,1,E 
8/3/2020,18.8,28.6,23.8,74,0,10,3,360,2,N 
8/4/2020,19,26.2,23.1,82,0,9.1,2,360,1,N 
8/5/2020,20,28.8,23.7,80,0,0.5,3,50,1,NW
8/6/2020,19.9,29.4,24.4,75,0,8.5,3,360,2,N 
8/7/2020,19.9,29.4,23.9,80,0,8.4,1,90,1,N 
8/8/2020,19,29.2,23.6,80,0,6,2,90,1,N 
8/9/2020,19.8,30,23.6,81,0,6.2,3,50,2,E 
8/10/2020,19,29,23.5,77,0,7.9,2,100,1,E 
8/11/2020,21,29.2,24.5,80,0,9,2,90,1,E 
8/12/2020,20,28.6,23.8,83,40.5,4.8,3,50,2,E 
8/13/2020,20.2,29.8,24.5,80,0,6.8,2,360,1,N 
8/14/2020,20.7,29,25.2,78,0,6.3,2,90,1,E 
8/15/2020,20.2,29.4,24.8,82,0,10,3,90,2,N 
8/16/2020,20.4,29,24.3,81,0,8.3,3,50,1,N 
8/17/2020,20.4,29.4,25.4,65,0,8,3,90,2,E 
8/18/2020,20.2,29.8,23.6,76,0,9.9,3,300,2,NW
8/19/2020,19.2,29,24.9,68,0,8.5,3,300,1,N 
8/20/2020,18.4,29.2,24.3,72,0,10.4,3,90,2,N 
8/21/2020,19.6,29.2,25,57,0,9.3,3,120,2,NE
8/22/2020,20.8,29.6,24.7,73,0,10.4,3,200,2,E 
8/23/2020,21,30.4,25.8,74,0,10.3,2,100,1,E 
8/24/2020,20.4,29.6,24.2,60,0,8.5,3,90,2,E 
8/25/2020,19.2,29.1,24.6,62,0,10.2,3,90,2,E 
8/26/2020,19,30.4,24.6,68,0,10.2,5,360,2,N 
8/27/2020,19.2,29.4,24.6,66,0,9.1,2,360,1,N 
8/28/2020,19,29.4,24.2,74,0,9.9,3,90,2,E 
8/29/2020,20.4,30.2,25.6,70,0,9.3,3,360,2,N 
8/30/2020,20,30,25.4,70,0,9,2,360,1,N 
8/31/2020,20,30,25.5,69,0,9.6,2,360,1,E 
9/1/2020,19.4,30.2,27.2,68,0,9.5,2,360,1,N 
9/2/2020,21.4,30.2,27,72,0,7,3,360,2,NE
9/3/2020,21.8,30,26,78,0,7.3,3,270,2,E 
9/4/2020,20.4,30.8,27.6,73,1,6.2,3,360,2,N 
9/5/2020,20.2,29.8,27.2,68,0,9,2,360,1,N 
9/6/2020,19.8,30.6,27.4,65,0,7,3,360,2,N 
9/7/2020,20.4,30.7,27,68,0,9.5,3,360,2,E 
9/8/2020,19.8,30.2,27.4,65,0,9.3,2,90,1,E 
9/9/2020,20.8,30.2,27.2,69,0,9.5,3,360,1,N 
9/10/2020,21,28.6,26.4,72,0,9,2,360,1,N 
9/11/2020,20,31,27.4,65,0,6.8,3,40,1,E 
9/12/2020,20,31,27.5,65,0,8.8,2,360,1,E 
9/13/2020,20,29.8,27.2,71,0,9.3,2,360,1,N 
9/14/2020,19,30,26.8,66,0,6.5,3,100,2,E 
9/15/2020,19.4,30.1,27.1,55,0,8.5,3,360,2,N 
9/16/2020,19.6,30,26.8,58,0,8.8,2,90,1,E 
9/17/2020,19.8,30.8,27.6,64,0,9.2,3,360,1,E 
9/18/2020,19.8,30.4,27.8,61,0,9,3,360,2,NE
9/19/2020,20.8,30.8,27.8,64,0,9.4,3,90,2,N 
9/20/2020,20.6,31,27.8,66,0,9.3,2,90,2,E 
9/21/2020,20.6,31,27.8,70,0,9,2,360,1,N 
9/22/2020,20.6,29.8,26.2,77,0,8.3,3,360,2,NW
9/23/2020,20.8,32,27.7,68,0,4.6,3,360,2,E 
9/24/2020,20.6,31.8,28.3,65,0,8.5,2,90,2,E 
9/25/2020,21.4,31.6,28.2,63,0,9.3,3,180,2,N 
9/26/2020,21,31.4,28.2,65,0.3,4.3,3,300,1,N 
9/27/2020,21.8,31.6,28.2,64,0,8.6,3,300,2,E 
9/28/2020,20.8,33.2,29,56,0,9,3,180,2,S 
9/29/2020,22,31.8,28.1,61,0,8,3,90,1,E 
9/30/2020,20.8,31.2,27.7,66,0.4,8.8,3,50,2,N 
10/1/2020,21,32,26.6,68,0,6.9,3,50,2,E 
10/2/2020,22,32.4,27.2,70,0,7.3,2,360,2,E 
10/3/2020,20.2,32,25.4,74,0,8.5,3,360,2,N 
10/4/2020,21,29.4,24.8,72,0.2,5.3,3,360,2,N 
10/5/2020,21,30,25.8,74,0.3,3.5,2,100,1,NW
10/6/2020,20.8,29.5,25.3,76,0,6.6,2,360,1,N 
10/7/2020,20.6,30.6,25.6,73,0,5.6,2,360,2,N 
10/8/2020,20.4,29,24.1,80,0,7.8,2,360,1,N 
10/9/2020,21,30.6,25.4,74,0,2,2,40,1,N 
10/10/2020,21.4,31,24.9,81,0,5,3,360,2,N 
10/11/2020,21,29.6,26.3,70,3,4.4,3,90,1,E 
10/12/2020,22.4,30.4,26.5,69,0.2,7,2,90,1,E 
10/13/2020,21.8,29.7,25.5,75,0,6.6,3,90,1,E 
10/14/2020,20.8,32,27,68,0,5.5,3,360,2,N 
10/15/2020,20,32.8,27.2,62,0,9.1,3,360,2,N 
10/16/2020,21.8,32,26.2,72,0,9.1,3,90,2,N 
10/17/2020,21,31.5,26.1,66,0,6.9,2,360,1,N 
10/18/2020,20.6,27.4,25.2,78,0,5,2,360,1,N 
10/19/2020,21.8,29.2,25.1,79,0,2.4,3,360,2,N 
10/20/2020,21,30.4,25.6,78,0,0.5,3,90,1,E 
10/21/2020,21.2,28.8,23.9,84,0,7.4,3,90,1,E 
10/22/2020,21,29,26,81,17,2.5,2,360,1,E 
10/23/2020,21,30,25.1,81,2.5,5.1,2,360,1,E 
10/24/2020,21,30.3,25.5,82,8.5,5,3,90,2,N 
10/25/2020,21,30.7,26.6,76,0,9,2,50,1,N 
10/26/2020,21.4,30.6,24.8,84,0,8.3,3,360,1,N 
10/27/2020,21.2,28,24.9,82,0,4.2,2,90,1,N 
10/28/2020,21,30.2,25.6,79,13.3,2.5,3,360,2,N 
10/29/2020,21.2,30.7,26.8,72,0,10,3,90,2,N 
10/30/2020,21.8,29.6,25.1,80,0,10.8,3,90,2,E 
10/31/2020,22.2,28,23.8,85,0.2,6,1,90,1,N 
11/1/2020,19.8,28.1,23.2,90,64,1.4,3,90,1,NW
11/2/2020,21,27,22.6,94,57,4.4,2,300,1,NE
11/3/2020,20.8,29,25.3,82,43,3.4,2,90,2,E 
11/4/2020,21.4,29.8,26.1,76,2,5.9,2,90,1,E 
11/5/2020,21.6,30,26,78,0,7,3,90,1,SE
11/6/2020,20.8,30.6,26.2,69,0,8.7,5,100,2,E 
11/7/2020,21.2,31.7,27.5,64,0,10.3,3,360,2,N 
11/8/2020,21,31,26.3,66,0,10.5,2,20,1,N 
11/9/2020,20.7,30.2,26,68,0,9.8,2,350,1,NE
11/10/2020,21,31,26,73,0,8,3,330,1,N 
11/11/2020,21.4,31.2,26.6,68,0,9.2,2,360,2,E 
11/12/2020,21.6,31.2,27.1,71,0,7.2,3,160,2,E 
11/13/2020,21.2,31.2,26.9,74,0.2,8.4,3,170,1,E 
11/14/2020,22,31.4,26.9,66,0,8,2,360,2,S 
11/15/2020,22,31,26.1,75,0,6.4,4,100,2,NW
11/16/2020,21.4,30.8,26.8,72,1,6.4,2,10,2,N 
11/17/2020,22.8,31,26.3,78,0,7.3,4,180,2,N 
11/18/2020,21.4,30.2,25.6,72,1,6.5,4,130,2,S 
11/19/2020,21.9,31.2,26.6,75,0,8.8,3,360,2,N 
11/20/2020,22,28,24.6,84,2.5,8,2,300,1,E 
11/21/2020,21.4,30.8,25.4,80,0,2.9,2,100,1,E 
11/22/2020,22,28.2,23.4,90,46,5.7,4,160,1,N 
11/23/2020,20.9,28,23.5,88,0.2,2.1,3,360,1,S 
11/24/2020,21,27.8,24,84,33,4.7,3,200,1,N 
11/25/2020,21,27,24.2,86,41,1,2,90,1,N 
11/26/2020,21,27.6,24.1,87,1,4.2,2,350,1,N 
11/27/2020,21.4,25.4,23.5,92,1,2.5,2,180,1,S 
11/28/2020,21,28,23.9,86,13.5,0.6,4,180,1,N 
11/29/2020,20.8,27.8,24.2,89,58,4.3,3,360,1,N 
11/30/2020,20.4,26,22.6,92,8,2.5,1,350,1,S 
12/1/2020,20.2,27.5,24.6,82,11,0.1,2,360,1,N 
12/2/2020,21.4,28,24.1,88,8,6.1,2,340,1,N 
12/3/2020,21.6,27.8,24.1,88,28,3.6,3,20,1,W 
12/4/2020,21.5,27.5,22.9,95,1,2.5,2,50,1,N 
12/5/2020,21,26.6,22.5,94,39,1.9,3,180,1,S 
12/6/2020,21,26.8,23.6,86,130,2.5,2,300,2,NW
12/7/2020,20.8,24,21.8,94,4,2.3,3,330,2,NW
12/8/2020,21,27,23.1,90,12.5,0,2,280,2,NW
12/9/2020,21,25.2,23.2,92,35,3.6,3,360,2,N 
12/10/2020,21.4,27.2,23.5,88,11.1,1,3,290,2,N 
12/11/2020,21.2,25.4,24.1,85,10,3.8,2,330,1,W 
12/12/2020,21,27,23.4,91,14,1.6,2,300,1,NW
12/13/2020,20.6,25.4,22.9,91,24,2.7,3,270,2,W 
12/14/2020,20.2,26,21.8,92,34,1.3,3,200,1,S 
12/15/2020,20.2,25.1,22.7,93,75,0.5,1,80,1,E 
12/16/2020,20.2,26,22.8,90,0.5,0,1,340,1,E 
12/17/2020,20.4,26.4,23.4,92,3,1.7,2,360,1,N 
12/18/2020,21,26.1,22.3,92,1,3.1,3,340,1,N 
12/19/2020,19.8,26.4,23.3,90,3,2.8,2,30,1,E 
12/20/2020,20,28,24.5,79,4,2.4,4,100,2,E 
12/21/2020,20,28.4,24.2,81,0,9,2,100,1,E 
12/22/2020,20.5,28.1,24.5,85,0,7,3,90,1,E 
12/23/2020,20.4,28,24.5,86,1,5.5,2,30,1,NE
12/24/2020,20.2,28,24.3,80,0,6.5,3,200,1,E 
12/25/2020,20.8,27.3,23.8,91,17,4.4,2,90,1,E 
12/26/2020,20.8,27.4,23.8,88,48,5.5,3,210,1,NW
12/27/2020,21.2,28,24.2,90,12,3.8,3,330,1,E 
12/28/2020,21.2,27.7,23.9,92,4,0.1,3,360,1,E 
12/29/2020,21.4,27.6,24.2,90,1,2.7,2,20,2,N 
12/30/2020,21,27.2,22.2,96,15,4.3,2,10,1,S 
12/31/2020,21.4,26.2,23.7,90,14,2.5,2,150,1,N 
